hour,trips,subway,bus,share
0,865,13,852,0.0003040172808342937
1,355,0,355,0.00012477009791465234
2,299,0,299,0.00010508805429994661
3,253,0,253,8.892066133072405e-05
4,752,99,653,0.00026430172854033395
5,23620,8411,15209,0.008301604824631234
6,126109,47651,78458,0.04432290782512364
7,302591,150425,152166,0.10635016534673962
8,336668,159575,177093,0.1183270403513526
9,216298,78090,138208,0.07602119053167175
10,157478,47019,110459,0.05534801543493977
11,138469,43241,95228,0.04866701602294083
12,128177,45574,82603,0.045049737578609556
13,132074,47705,84369,0.046419396935154345
14,134542,46421,88121,0.047286812714459586
15,144905,50059,94846,0.050929045178373794
16,170181,64222,105959,0.05981267614989704
17,264084,128725,135359,0.0928163001061776
18,235407,119426,115981,0.08273733645012553
19,137970,64113,73857,0.048491634955731215
20,94494,43614,50880,0.033211339809428614
21,66893,32633,34260,0.02351055256283053
22,29662,14968,14694,0.010425156744632161
23,3087,1007,2080,0.0010849726542606528
