scope,key,hour,headway_s,n_obs,method,median_gap_s,upper_from_clusters_s
mode,bus,4,180.0,7,bus_tapin_clusters,,
mode,bus,5,600.0,2736,bus_tapin_clusters,,
mode,bus,6,480.0,11551,bus_tapin_clusters,,
mode,bus,7,450.0,16304,bus_tapin_clusters,,
mode,bus,8,420.0,17821,bus_tapin_clusters,,
mode,bus,9,450.0,16798,bus_tapin_clusters,,
mode,bus,10,480.0,14651,bus_tapin_clusters,,
mode,bus,11,514.2857142857143,13223,bus_tapin_clusters,,
mode,bus,12,514.2857142857143,12233,bus_tapin_clusters,,
mode,bus,13,540.0,11800,bus_tapin_clusters,,
mode,bus,14,514.2857142857143,12344,bus_tapin_clusters,,
mode,bus,15,514.2857142857143,13589,bus_tapin_clusters,,
mode,bus,16,450.0,15656,bus_tapin_clusters,,
mode,bus,17,420.0,16802,bus_tapin_clusters,,
mode,bus,18,450.0,14968,bus_tapin_clusters,,
mode,bus,19,514.2857142857143,11924,bus_tapin_clusters,,
mode,bus,20,600.0,8682,bus_tapin_clusters,,
mode,bus,21,720.0,5290,bus_tapin_clusters,,
mode,bus,22,720.0,1450,bus_tapin_clusters,,
mode,bus,23,585.0,44,bus_tapin_clusters,,
mode,bus,all,480.0,217873,bus_tapin_clusters,,
line,122路(北京站东街--北京西站南广场),5,400.0,20,bus_tapin_clusters,600.0,400.0
line,122路(北京站东街--北京西站南广场),6,450.0,40,bus_tapin_clusters,495.0,450.0
line,122路(北京站东街--北京西站南广场),7,450.0,39,bus_tapin_clusters,600.0,450.0
line,122路(北京站东街--北京西站南广场),8,514.2857142857143,26,bus_tapin_clusters,630.0,514.2857142857143
line,122路(北京站东街--北京西站南广场),9,240.0,55,bus_tapin_clusters,360.0,240.0
line,122路(北京站东街--北京西站南广场),10,400.0,47,bus_tapin_clusters,480.0,400.0
line,122路(北京站东街--北京西站南广场),11,300.0,39,bus_tapin_clusters,450.0,300.0
line,122路(北京站东街--北京西站南广场),12,400.0,40,bus_tapin_clusters,450.0,400.0
line,122路(北京站东街--北京西站南广场),13,327.27272727272725,27,bus_tapin_clusters,600.0,327.27272727272725
line,122路(北京站东街--北京西站南广场),14,360.0,40,bus_tapin_clusters,600.0,360.0
line,122路(北京站东街--北京西站南广场),15,600.0,28,bus_tapin_clusters,870.0,600.0
line,122路(北京站东街--北京西站南广场),16,400.0,29,bus_tapin_clusters,660.0,400.0
line,122路(北京站东街--北京西站南广场),17,300.0,46,bus_tapin_clusters,420.0,300.0
line,122路(北京站东街--北京西站南广场),18,450.0,30,bus_tapin_clusters,660.0,450.0
line,122路(北京站东街--北京西站南广场),19,400.0,41,bus_tapin_clusters,420.0,400.0
line,122路(北京站东街--北京西站南广场),20,600.0,30,bus_tapin_clusters,720.0,600.0
line,122路(北京站东街--北京西站南广场),21,720.0,24,bus_tapin_clusters,720.0,720.0
line,122路(北京站东街--北京西站南广场),22,720.0,17,bus_tapin_clusters,900.0,720.0
line,122路(北京站东街--北京西站南广场),23,585.0,4,bus_tapin_clusters,585.0,720.0
line,39路(双庙--北京站东),5,514.2857142857143,27,bus_tapin_clusters,780.0,514.2857142857143
line,39路(双庙--北京站东),6,257.14285714285717,47,bus_tapin_clusters,360.0,257.14285714285717
line,39路(双庙--北京站东),7,300.0,58,bus_tapin_clusters,360.0,300.0
line,39路(双庙--北京站东),8,276.9230769230769,45,bus_tapin_clusters,360.0,276.9230769230769
line,39路(双庙--北京站东),9,327.27272727272725,43,bus_tapin_clusters,450.0,327.27272727272725
line,39路(双庙--北京站东),10,276.9230769230769,41,bus_tapin_clusters,480.0,276.9230769230769
line,39路(双庙--北京站东),11,514.2857142857143,29,bus_tapin_clusters,600.0,514.2857142857143
line,39路(双庙--北京站东),12,514.2857142857143,31,bus_tapin_clusters,540.0,514.2857142857143
line,39路(双庙--北京站东),13,360.0,34,bus_tapin_clusters,510.0,360.0
line,39路(双庙--北京站东),14,300.0,36,bus_tapin_clusters,480.0,300.0
line,39路(双庙--北京站东),15,400.0,39,bus_tapin_clusters,420.0,400.0
line,39路(双庙--北京站东),16,300.0,50,bus_tapin_clusters,300.0,300.0
line,39路(双庙--北京站东),17,360.0,34,bus_tapin_clusters,450.0,360.0
line,39路(双庙--北京站东),18,360.0,36,bus_tapin_clusters,360.0,360.0
line,39路(双庙--北京站东),19,720.0,9,bus_tapin_clusters,870.0,720.0
line,39路(双庙--北京站东),20,510.0,17,bus_tapin_clusters,510.0,514.2857142857143
line,39路(双庙--北京站东),21,750.0,5,bus_tapin_clusters,750.0,1200.0
line,39路(双庙--北京站东),22,1800.0,2,bus_tapin_clusters,2280.0,1800.0
line,665路(北京南站南广场--鹿海园公交场站),6,514.2857142857143,21,bus_tapin_clusters,960.0,514.2857142857143
line,665路(北京南站南广场--鹿海园公交场站),7,600.0,28,bus_tapin_clusters,720.0,600.0
line,665路(北京南站南广场--鹿海园公交场站),8,514.2857142857143,28,bus_tapin_clusters,780.0,514.2857142857143
line,665路(北京南站南广场--鹿海园公交场站),9,420.0,38,bus_tapin_clusters,420.0,450.0
line,665路(北京南站南广场--鹿海园公交场站),10,400.0,36,bus_tapin_clusters,510.0,400.0
line,665路(北京南站南广场--鹿海园公交场站),11,514.2857142857143,30,bus_tapin_clusters,540.0,514.2857142857143
line,665路(北京南站南广场--鹿海园公交场站),12,900.0,20,bus_tapin_clusters,960.0,900.0
line,665路(北京南站南广场--鹿海园公交场站),13,600.0,31,bus_tapin_clusters,630.0,600.0
line,665路(北京南站南广场--鹿海园公交场站),14,720.0,19,bus_tapin_clusters,840.0,720.0
line,665路(北京南站南广场--鹿海园公交场站),15,720.0,25,bus_tapin_clusters,960.0,720.0
line,665路(北京南站南广场--鹿海园公交场站),16,400.0,29,bus_tapin_clusters,480.0,400.0
line,665路(北京南站南广场--鹿海园公交场站),17,400.0,37,bus_tapin_clusters,420.0,400.0
line,665路(北京南站南广场--鹿海园公交场站),18,480.0,30,bus_tapin_clusters,480.0,514.2857142857143
line,665路(北京南站南广场--鹿海园公交场站),19,450.0,33,bus_tapin_clusters,480.0,450.0
line,665路(北京南站南广场--鹿海园公交场站),20,514.2857142857143,25,bus_tapin_clusters,780.0,514.2857142857143
line,665路(北京南站南广场--鹿海园公交场站),21,720.0,14,bus_tapin_clusters,930.0,720.0
line,665路(北京南站南广场--鹿海园公交场站),22,870.0,6,bus_tapin_clusters,870.0,900.0
line,116路(地铁柳芳站--龙潭公园),6,514.2857142857143,24,bus_tapin_clusters,540.0,514.2857142857143
line,116路(地铁柳芳站--龙潭公园),7,330.0,18,bus_tapin_clusters,330.0,400.0
line,116路(地铁柳芳站--龙潭公园),8,400.0,33,bus_tapin_clusters,420.0,400.0
line,116路(地铁柳芳站--龙潭公园),9,435.0,14,bus_tapin_clusters,435.0,514.2857142857143
line,116路(地铁柳芳站--龙潭公园),10,600.0,16,bus_tapin_clusters,600.0,720.0
line,116路(地铁柳芳站--龙潭公园),11,600.0,23,bus_tapin_clusters,600.0,720.0
line,116路(地铁柳芳站--龙潭公园),12,720.0,16,bus_tapin_clusters,1050.0,720.0
line,116路(地铁柳芳站--龙潭公园),13,360.0,27,bus_tapin_clusters,720.0,360.0
line,116路(地铁柳芳站--龙潭公园),14,1800.0,6,bus_tapin_clusters,1890.0,1800.0
line,116路(地铁柳芳站--龙潭公园),15,720.0,14,bus_tapin_clusters,1140.0,720.0
line,116路(地铁柳芳站--龙潭公园),16,450.0,28,bus_tapin_clusters,540.0,450.0
line,116路(地铁柳芳站--龙潭公园),17,600.0,25,bus_tapin_clusters,840.0,600.0
line,116路(地铁柳芳站--龙潭公园),18,1080.0,7,bus_tapin_clusters,1080.0,1200.0
line,116路(地铁柳芳站--龙潭公园),19,720.0,12,bus_tapin_clusters,1320.0,720.0
line,116路(地铁柳芳站--龙潭公园),20,780.0,3,bus_tapin_clusters,780.0,1200.0
line,116路(地铁柳芳站--龙潭公园),22,1800.0,4,bus_tapin_clusters,1800.0,1800.0
line,22路(前门--牡丹园西),5,360.0,20,bus_tapin_clusters,360.0,720.0
line,22路(前门--牡丹园西),6,400.0,37,bus_tapin_clusters,420.0,400.0
line,22路(前门--牡丹园西),7,240.0,54,bus_tapin_clusters,300.0,240.0
line,22路(前门--牡丹园西),8,300.0,61,bus_tapin_clusters,300.0,300.0
line,22路(前门--牡丹园西),9,327.27272727272725,55,bus_tapin_clusters,330.0,327.27272727272725
line,22路(前门--牡丹园西),10,285.0,54,bus_tapin_clusters,285.0,300.0
line,22路(前门--牡丹园西),11,240.0,60,bus_tapin_clusters,300.0,240.0
line,22路(前门--牡丹园西),12,300.0,62,bus_tapin_clusters,300.0,300.0
line,22路(前门--牡丹园西),13,300.0,48,bus_tapin_clusters,330.0,300.0
line,22路(前门--牡丹园西),14,300.0,50,bus_tapin_clusters,300.0,300.0
line,22路(前门--牡丹园西),15,400.0,44,bus_tapin_clusters,420.0,400.0
line,22路(前门--牡丹园西),16,240.0,63,bus_tapin_clusters,240.0,276.9230769230769
line,22路(前门--牡丹园西),17,276.9230769230769,58,bus_tapin_clusters,300.0,276.9230769230769
line,22路(前门--牡丹园西),18,257.14285714285717,62,bus_tapin_clusters,300.0,257.14285714285717
line,22路(前门--牡丹园西),19,360.0,49,bus_tapin_clusters,420.0,360.0
line,22路(前门--牡丹园西),20,450.0,41,bus_tapin_clusters,480.0,450.0
line,22路(前门--牡丹园西),21,514.2857142857143,28,bus_tapin_clusters,750.0,514.2857142857143
line,22路(前门--牡丹园西),22,780.0,18,bus_tapin_clusters,780.0,900.0
line,22路(前门--牡丹园西),23,780.0,2,bus_tapin_clusters,780.0,1200.0
line,39路(北京站东--双庙),5,1290.0,6,bus_tapin_clusters,1290.0,1800.0
line,39路(北京站东--双庙),6,600.0,27,bus_tapin_clusters,780.0,600.0
line,39路(北京站东--双庙),7,450.0,38,bus_tapin_clusters,480.0,450.0
line,39路(北京站东--双庙),8,360.0,46,bus_tapin_clusters,360.0,360.0
line,39路(北京站东--双庙),9,360.0,42,bus_tapin_clusters,360.0,450.0
line,39路(北京站东--双庙),10,450.0,38,bus_tapin_clusters,495.0,450.0
line,39路(北京站东--双庙),11,514.2857142857143,36,bus_tapin_clusters,555.0,514.2857142857143
line,39路(北京站东--双庙),12,480.0,26,bus_tapin_clusters,480.0,600.0
line,39路(北京站东--双庙),13,600.0,27,bus_tapin_clusters,720.0,600.0
line,39路(北京站东--双庙),14,600.0,26,bus_tapin_clusters,690.0,600.0
line,39路(北京站东--双庙),15,514.2857142857143,32,bus_tapin_clusters,555.0,514.2857142857143
line,39路(北京站东--双庙),16,514.2857142857143,36,bus_tapin_clusters,585.0,514.2857142857143
line,39路(北京站东--双庙),17,360.0,50,bus_tapin_clusters,360.0,400.0
line,39路(北京站东--双庙),18,400.0,49,bus_tapin_clusters,420.0,400.0
line,39路(北京站东--双庙),19,514.2857142857143,31,bus_tapin_clusters,540.0,514.2857142857143
line,39路(北京站东--双庙),20,720.0,22,bus_tapin_clusters,1125.0,720.0
line,39路(北京站东--双庙),21,600.0,24,bus_tapin_clusters,705.0,600.0
line,39路(北京站东--双庙),22,900.0,15,bus_tapin_clusters,900.0,900.0
line,19路(翠林小区--动物园枢纽站),5,450.0,26,bus_tapin_clusters,510.0,450.0
line,19路(翠林小区--动物园枢纽站),6,360.0,40,bus_tapin_clusters,360.0,360.0
line,19路(翠林小区--动物园枢纽站),7,300.0,26,bus_tapin_clusters,360.0,300.0
line,19路(翠林小区--动物园枢纽站),8,600.0,29,bus_tapin_clusters,780.0,600.0
line,19路(翠林小区--动物园枢纽站),9,514.2857142857143,32,bus_tapin_clusters,570.0,514.2857142857143
line,19路(翠林小区--动物园枢纽站),10,400.0,32,bus_tapin_clusters,780.0,400.0
line,19路(翠林小区--动物园枢纽站),11,514.2857142857143,29,bus_tapin_clusters,720.0,514.2857142857143
line,19路(翠林小区--动物园枢纽站),12,600.0,27,bus_tapin_clusters,720.0,600.0
line,19路(翠林小区--动物园枢纽站),13,720.0,24,bus_tapin_clusters,795.0,720.0
line,19路(翠林小区--动物园枢纽站),14,720.0,23,bus_tapin_clusters,1020.0,720.0
line,19路(翠林小区--动物园枢纽站),15,390.0,28,bus_tapin_clusters,390.0,600.0
line,19路(翠林小区--动物园枢纽站),16,570.0,25,bus_tapin_clusters,570.0,720.0
