scope,key,transfer_time_s,n_obs,raw_median_s
mode,subway,60.0,185224,40.34252265976056
station,subway:BV10000102,60.0,3690,-20.92955388730161
station,subway:BV10000188,251.27323849190543,8525,251.27323849190543
station,subway:BV10000199,135.72447932972318,1200,135.72447932972318
station,subway:BV10000215,229.60139994124165,411,229.60139994124165
station,subway:BV10000743,60.0,6450,-23.830737150890627
station,subway:BV10001595,60.0,11242,-1.2549593491914948
station,subway:BV10005412,60.0,9477,-88.20028907829737
station,subway:BV10006224,60.0,8685,26.178766323270338
station,subway:BV10006454,106.6209563665393,4118,106.6209563665393
station,subway:BV10006575,60.0,678,-33.49101543729944
station,subway:BV10006603,113.88422120572886,7817,113.88422120572886
station,subway:BV10007375,60.0,10660,-20.705586785009245
station,subway:BV10008284,154.36248253422366,7128,154.36248253422366
station,subway:BV10013379,60.0,13021,29.530080043888574
station,subway:BV10013381,221.51166588791602,697,221.51166588791602
station,subway:BV10013383,81.300185299399,13740,81.300185299399
station,subway:BV10013385,396.6152024499704,2932,396.6152024499704
station,subway:BV10013411,60.0,6869,-81.25835065150432
station,subway:BV10013413,145.80352945187178,6401,145.80352945187178
station,subway:BV10013417,73.69677348553057,7638,73.69677348553057
station,subway:BV10013432,60.0,16787,-56.57867880046956
station,subway:BV10013437,75.72385674584683,4062,75.72385674584683
station,subway:BV10013440,89.07405277990051,5952,89.07405277990051
station,subway:BV10013442,210.69180467702745,5285,210.69180467702745
station,subway:BV10013465,60.0,756,-70.3258369477523
station,subway:BV10013475,60.0,6506,-29.34234647545327
station,subway:BV10013489,60.0,14443,12.853977004935587
